time_s,remaining_error,command_velocity,pass_through,state,planned_dir,planned_run_duration,real_velocity,position,target_position
1783308923.918035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.919035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.920035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.921035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.922035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.923035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.924035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.925035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.926034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.927035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.928035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.929035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.930035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.931035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.932035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.933035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.934035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.935035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.936035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.937035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.938035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.939035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.940035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.941035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.942034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.943035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.944035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.945035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.946034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.947035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.948035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.949035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.950035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.951035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.952035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.953035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.954035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.955035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.956035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.957035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.958035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.959035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.960035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.961035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.962034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.963035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.964035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.965035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.966035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.967035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.968035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.969035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.970035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.971035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.972035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.973035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.974035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.975035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.976035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.977035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.978034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.979035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.980035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.981035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.982034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.983035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.984035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.985035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.986035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.987035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.988035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.989035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.990035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.991035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.992035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.993035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.994035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.995035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.996035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.997035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.998034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.999035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308924.000035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308924.001034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308924.002034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308924.003035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308924.004035,-0.007912,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,-0.008069
1783308924.005035,-0.007912,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,-0.008069
1783308924.006035,-0.007912,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,-0.008069
1783308924.007035,-0.007912,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,-0.008069
1783308924.008035,-0.007912,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,-0.008069
